model_a,model_b,subject_id,aggregate_accuracy_difference,subject_accuracy_difference,practical_effect_threshold
01-ai/yi-34b,01-ai/yi-large-preview,college_mathematics,-0.03090273475660288,0.10999999999999999,0.01
01-ai/yi-34b,01-ai/yi-large-preview,global_facts,-0.03090273475660288,0.010000000000000009,0.01
01-ai/yi-34b,01-ai/yi-large-preview,jurisprudence,-0.03090273475660288,0.04629629629629628,0.01
01-ai/yi-34b,01-ai/yi-large-preview,logical_fallacies,-0.03090273475660288,0.018404907975460127,0.01
01-ai/yi-34b,01-ai/yi-large-preview,medical_genetics,-0.03090273475660288,0.040000000000000036,0.01
01-ai/yi-34b,01-ai/yi-large-preview,nutrition,-0.03090273475660288,0.022875816993464082,0.01
01-ai/yi-34b,01-ai/yi-large-preview,professional_accounting,-0.03090273475660288,0.024822695035460973,0.01
01-ai/yi-34b,01-ai/yi-large-preview,security_studies,-0.03090273475660288,0.01224489795918371,0.01
01-ai/yi-34b,01-ai/yi-large-preview,sociology,-0.03090273475660288,0.01990049751243783,0.01
01-ai/yi-34b,01-ai/yi-large-preview,us_foreign_policy,-0.03090273475660288,0.06000000000000005,0.01
01-ai/yi-34b,databricks/dbrx-instruct,business_ethics,0.021316149510410276,-0.030000000000000027,0.01
01-ai/yi-34b,databricks/dbrx-instruct,college_computer_science,0.021316149510410276,-0.040000000000000036,0.01
01-ai/yi-34b,databricks/dbrx-instruct,college_medicine,0.021316149510410276,-0.034682080924855474,0.01
01-ai/yi-34b,databricks/dbrx-instruct,college_physics,0.021316149510410276,-0.039215686274509776,0.01
01-ai/yi-34b,databricks/dbrx-instruct,econometrics,0.021316149510410276,-0.01754385964912275,0.01
01-ai/yi-34b,databricks/dbrx-instruct,formal_logic,0.021316149510410276,-0.015873015873015817,0.01
01-ai/yi-34b,databricks/dbrx-instruct,high_school_chemistry,0.021316149510410276,-0.019704433497536922,0.01
01-ai/yi-34b,databricks/dbrx-instruct,machine_learning,0.021316149510410276,-0.044642857142857095,0.01
01-ai/yi-34b,databricks/dbrx-instruct,us_foreign_policy,0.021316149510410276,-0.020000000000000018,0.01
01-ai/yi-34b,deepseek-ai/deepseek-llm-67b-chat,abstract_algebra,0.03728615081468345,-0.03999999999999998,0.01
01-ai/yi-34b,deepseek-ai/deepseek-llm-67b-chat,business_ethics,0.03728615081468345,-0.10999999999999999,0.01
01-ai/yi-34b,deepseek-ai/deepseek-llm-67b-chat,human_aging,0.03728615081468345,-0.03587443946188351,0.01
01-ai/yi-34b,google/gemma-2-9b,business_ethics,0.04098476743665902,-0.020000000000000018,0.01
01-ai/yi-34b,google/gemma-2-9b,college_chemistry,0.04098476743665902,-0.010000000000000009,0.01
01-ai/yi-34b,google/gemma-2-9b,high_school_chemistry,0.04098476743665902,-0.019704433497536922,0.01
01-ai/yi-34b,google/gemma-2-9b,high_school_mathematics,0.04098476743665902,-0.01851851851851849,0.01
01-ai/yi-34b,google/gemma-7b,college_medicine,0.10113253902481634,-0.034682080924855474,0.01
01-ai/yi-34b,meta/llama-2-70b,high_school_us_history,0.06686549980206657,-0.02450980392156865,0.01
01-ai/yi-34b,meta/llama-2-70b,us_foreign_policy,0.06686549980206657,-0.010000000000000009,0.01
01-ai/yi-34b,meta/llama-3-70b,electrical_engineering,-0.03103721249398983,0.01379310344827589,0.01
01-ai/yi-34b,meta/llama-3-70b,elementary_mathematics,-0.03103721249398983,0.023809523809523725,0.01
01-ai/yi-34b,meta/llama-3-70b,global_facts,-0.03103721249398983,0.040000000000000036,0.01
01-ai/yi-34b,meta/llama-3-70b,jurisprudence,-0.03103721249398983,0.03703703703703698,0.01
01-ai/yi-34b,meta/llama-3-70b,logical_fallacies,-0.03103721249398983,0.018404907975460127,0.01
01-ai/yi-34b,meta/llama-3-70b,professional_accounting,-0.03103721249398983,0.024822695035460973,0.01
01-ai/yi-34b,meta/llama-3-70b,public_relations,-0.03103721249398983,0.018181818181818188,0.01
01-ai/yi-34b,meta/llama-3.1-405b-instruct-turbo,computer_security,-0.08298928955072626,0.019999999999999907,0.01
01-ai/yi-34b,meta/llama-3.1-405b-instruct-turbo,human_sexuality,-0.08298928955072626,0.01526717557251911,0.01
01-ai/yi-34b,meta/llama-3.1-405b-instruct-turbo,jurisprudence,-0.08298928955072626,0.02777777777777779,0.01
01-ai/yi-34b,meta/llama-3.1-70b-instruct-turbo,business_ethics,-0.03870730656808907,0.030000000000000027,0.01
01-ai/yi-34b,meta/llama-3.1-70b-instruct-turbo,computer_security,-0.03870730656808907,0.029999999999999916,0.01
01-ai/yi-34b,meta/llama-3.1-70b-instruct-turbo,electrical_engineering,-0.03870730656808907,0.03448275862068961,0.01
01-ai/yi-34b,meta/llama-3.1-70b-instruct-turbo,high_school_mathematics,-0.03870730656808907,0.06296296296296294,0.01
01-ai/yi-34b,meta/llama-3.1-70b-instruct-turbo,human_sexuality,-0.03870730656808907,0.01526717557251911,0.01
