model_id,point_rank,simultaneous_rank_lower,simultaneous_rank_upper,interval_type,confidence_level,joint_critical_rank_deviation,resampling_unit,joint_draw_count
01-ai/yi-34b,14.0,10.0,18.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
01-ai/yi-6b,29.0,25.0,33.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
01-ai/yi-large-preview,7.0,3.0,11.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
allenai/olmo-1.7-7b,37.0,33.0,39.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
allenai/olmo-7b,39.0,35.0,39.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
databricks/dbrx-instruct,18.0,14.0,22.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
deepseek-ai/deepseek-llm-67b-chat,19.0,15.0,23.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
deepseek-ai/deepseek-v3,1.0,1.0,5.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
google/gemma-2-27b,16.0,12.0,20.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
google/gemma-2-9b,21.0,17.0,25.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
google/gemma-7b,27.0,23.0,31.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
meta/llama-2-13b,36.0,32.0,39.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
meta/llama-2-70b,23.0,19.0,27.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
meta/llama-2-7b,38.0,34.0,39.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
meta/llama-3-70b,9.0,5.0,13.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
meta/llama-3-8b,26.0,22.0,30.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
meta/llama-3.1-405b-instruct-turbo,2.0,1.0,6.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
meta/llama-3.1-70b-instruct-turbo,6.0,2.0,10.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
