scenario_id,split,claim_family,replicate,seed,generator,critical_stratum,truth_supported,strong_effect,effective_n,family_count,family_correlation,family_imbalance,multiplicity,measurement_noise,policy_id,licensed,license_status,coverage,decision_regret,point_estimate,method
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000000,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,0,7513000,gaussian_mixture,LOW_EFFECTIVE_N,False,False,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.0038497266254895204,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000001,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,1,7513001,gaussian_mixture,LOW_EFFECTIVE_N,True,False,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.042228460141246496,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000002,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,2,7513002,gaussian_mixture,HIGH_FAMILY_CORRELATION,False,False,30,4,0.9,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.012788854356987279,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000003,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,3,7513003,gaussian_mixture,HIGH_FAMILY_CORRELATION,True,False,30,4,0.9,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.02904362392119908,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000004,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,4,7513004,gaussian_mixture,LOW_FAMILY_COUNT,False,False,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.0029122355788499645,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000005,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,5,7513005,gaussian_mixture,LOW_FAMILY_COUNT,True,False,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.01575261153653976,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000006,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,6,7513006,gaussian_mixture,HIGH_FAMILY_IMBALANCE,False,False,30,4,0.0,8.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.0008748081663316938,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000007,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,7,7513007,gaussian_mixture,HIGH_FAMILY_IMBALANCE,True,False,30,4,0.0,8.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.028703506586149733,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000008,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,8,7513008,gaussian_mixture,HIGH_MULTIPLICITY,False,False,30,4,0.0,1.0,500,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.0020885433267755914,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000009,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,9,7513009,gaussian_mixture,HIGH_MULTIPLICITY,True,False,30,4,0.0,1.0,500,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.028103709806415526,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000010,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,10,7513010,gaussian_mixture,HIGH_MEASUREMENT_NOISE,False,False,30,4,0.0,1.0,1,1.8,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.006610861570823721,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000011,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,11,7513011,gaussian_mixture,HIGH_MEASUREMENT_NOISE,True,False,30,4,0.0,1.0,1,1.8,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.03148050588616606,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000012,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,12,7513012,gaussian_mixture,NEAR_MATERIALITY_BOUNDARY,False,False,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.007304200630908767,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000013,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,13,7513013,gaussian_mixture,NEAR_MATERIALITY_BOUNDARY,True,False,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.037675648270622975,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000014,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,14,7513014,gaussian_mixture,NEAR_TIE_TOP_K,False,False,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.006783149697828207,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000015,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,15,7513015,gaussian_mixture,NEAR_TIE_TOP_K,True,False,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.036668243740133624,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000016,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,16,7513016,gaussian_mixture,TRANSPORT_REVERSAL_RISK,False,False,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.012492281567729802,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000017,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,17,7513017,gaussian_mixture,TRANSPORT_REVERSAL_RISK,True,False,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.046250148683437374,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000018,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,18,7513018,gaussian_mixture,DISCOVERY_VALIDATION_SHIFT,False,False,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.0028587144781735446,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000019,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,19,7513019,gaussian_mixture,DISCOVERY_VALIDATION_SHIFT,True,False,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.03454193473312321,BH_FDR_STABILITY_EXTERNAL_VALIDATION
