model_a,model_b,superiority_probability,mean_difference,confidence_lower,confidence_upper
01-ai/yi-34b,01-ai/yi-6b,1.0,0.12194472505891579,0.10637565889608482,0.1370489341136128
01-ai/yi-34b,01-ai/yi-large-preview,0.0,-0.03112700020729627,-0.04953885496881386,-0.015403220445597816
01-ai/yi-34b,allenai/olmo-1.7-7b,1.0,0.22429771763506115,0.2030813059467545,0.24576477975914648
01-ai/yi-34b,allenai/olmo-7b,1.0,0.46799120938478944,0.4259152931309382,0.5121446950299384
01-ai/yi-34b,databricks/dbrx-instruct,1.0,0.021067994409175127,0.009031687962512764,0.033962525531213685
01-ai/yi-34b,deepseek-ai/deepseek-llm-67b-chat,1.0,0.03701189647207314,0.024627179416712535,0.05011819960296715
01-ai/yi-34b,deepseek-ai/deepseek-v3,0.0,-0.10941662502779456,-0.1348821739721536,-0.08413499737033826
01-ai/yi-34b,google/gemma-2-27b,0.706,0.004784491942464711,-0.008936028279600047,0.022330473351401498
01-ai/yi-34b,google/gemma-2-9b,1.0,0.04066659327118387,0.026693292352341573,0.05768056984727379
01-ai/yi-34b,google/gemma-7b,1.0,0.1006834442617195,0.08490313595291706,0.11724374397309707
01-ai/yi-34b,meta/llama-2-13b,1.0,0.20796336953560945,0.18863302492332606,0.22874132711712522
01-ai/yi-34b,meta/llama-2-70b,1.0,0.06668844209731489,0.05223445499854791,0.08233459387873293
01-ai/yi-34b,meta/llama-2-7b,1.0,0.3044406689093672,0.2802958415462187,0.32858524017079466
01-ai/yi-34b,meta/llama-3-70b,0.0,-0.0312479366986673,-0.04351258091809124,-0.01772182491669554
01-ai/yi-34b,meta/llama-3-8b,1.0,0.09458501504456783,0.07945085601942731,0.11240457541864435
01-ai/yi-34b,meta/llama-3.1-405b-instruct-turbo,0.0,-0.08287330108084925,-0.10450549292168868,-0.06295609176869893
01-ai/yi-34b,meta/llama-3.1-70b-instruct-turbo,0.0,-0.039026029188772876,-0.05512501704687194,-0.023233791102907585
01-ai/yi-34b,meta/llama-3.1-8b-instruct-turbo,1.0,0.20171993323788515,0.1758810873824477,0.2308398142154667
01-ai/yi-34b,meta/llama-3.2-11b-vision-instruct-turbo,1.0,0.19725139197285552,0.1703950099150008,0.2251914702147783
01-ai/yi-34b,meta/llama-3.2-90b-vision-instruct-turbo,0.0,-0.04068955838393502,-0.056628746030661335,-0.025615632720639575
01-ai/yi-34b,meta/llama-3.3-70b-instruct-turbo,0.0,-0.028655005598575003,-0.04272846873163819,-0.015630761681776063
01-ai/yi-34b,microsoft/phi-2,1.0,0.17780238636334245,0.15626731553111015,0.19626951635618287
01-ai/yi-34b,microsoft/phi-3-medium-4k-instruct,0.032,-0.012316984678063018,-0.02553549943148808,0.0004519660021046631
01-ai/yi-34b,microsoft/phi-3-small-8k-instruct,0.772,0.00554012037558107,-0.008742293553224456,0.019240682203711952
01-ai/yi-34b,mistralai/mistral-7b-instruct-v0.3,1.0,0.1631420659134925,0.148389296915084,0.17889501149317197
01-ai/yi-34b,mistralai/mistral-7b-v0.1,1.0,0.19602199786114938,0.17916662544789974,0.21460384367369953
01-ai/yi-34b,mistralai/mixtral-8x22b,0.0,-0.016246962348417847,-0.02937140504277401,-0.0035771800581044172
01-ai/yi-34b,mistralai/mixtral-8x7b-32kseqlen,1.0,0.044718867104316544,0.03062526668946255,0.05813645574613486
01-ai/yi-34b,mistralai/open-mistral-nemo-2407,1.0,0.10855499358101978,0.09118291430593428,0.12978473006314975
01-ai/yi-34b,qwen/qwen1.5-110b-chat,0.256,-0.005361341351661579,-0.021429851723690226,0.00966667961864266
01-ai/yi-34b,qwen/qwen1.5-14b,1.0,0.07549673607093947,0.05967891240151319,0.09046981142612114
01-ai/yi-34b,qwen/qwen1.5-32b,0.996,0.01755668534058584,0.0055178841743274585,0.029092738931452495
01-ai/yi-34b,qwen/qwen1.5-72b,0.018,-0.011622850913271442,-0.023700009208218194,-0.0010112425175410806
01-ai/yi-34b,qwen/qwen1.5-7b,1.0,0.1360810961442978,0.11970779201560958,0.15241561835032108
01-ai/yi-34b,qwen/qwen2-72b-instruct,0.0,-0.06130788199034472,-0.0796242812834955,-0.045268103875514276
01-ai/yi-34b,qwen/qwen2.5-72b-instruct-turbo,0.0,-0.07150385677601132,-0.0924641268452286,-0.052561135832859096
01-ai/yi-34b,qwen/qwen2.5-7b-instruct-turbo,1.0,0.03326012474532299,0.016751977582291834,0.04869309898286724
01-ai/yi-34b,snowflake/snowflake-arctic-instruct,1.0,0.08536596351631667,0.07031384712112435,0.10161973466909191
01-ai/yi-6b,01-ai/yi-large-preview,0.0,-0.15307172526621207,-0.1770887806204267,-0.13107486421972986
01-ai/yi-6b,allenai/olmo-1.7-7b,1.0,0.1023529925761454,0.08084510007212756,0.12274267639714502
01-ai/yi-6b,allenai/olmo-7b,1.0,0.3460464843258736,0.29934941209350957,0.39512254979420264
01-ai/yi-6b,databricks/dbrx-instruct,0.0,-0.10087673064974066,-0.11698934308681061,-0.08579666073317567
01-ai/yi-6b,deepseek-ai/deepseek-llm-67b-chat,0.0,-0.08493282858684265,-0.10097616031539379,-0.06822180345317728
01-ai/yi-6b,deepseek-ai/deepseek-v3,0.0,-0.23136135008671038,-0.2609770492312667,-0.1994918616608425
01-ai/yi-6b,google/gemma-2-27b,0.0,-0.11716023311645109,-0.13417649327234424,-0.10036861498936436
01-ai/yi-6b,google/gemma-2-9b,0.0,-0.08127813178773192,-0.09533811840499506,-0.06800099296667984
01-ai/yi-6b,google/gemma-7b,0.004,-0.021261280797196292,-0.03565311059279769,-0.004784198185202785
