held_out_subject,winner_changed,winner_without_subject,maximum_absolute_score_change,maximum_absolute_rank_change,rank_spearman
abstract_algebra,False,deepseek-ai/deepseek-v3,0.002824038081055691,1.0,0.9997975708502025
anatomy,False,deepseek-ai/deepseek-v3,0.0012492799262997512,1.0,0.9997975708502025
astronomy,False,deepseek-ai/deepseek-v3,0.0015292290361251792,1.0,0.9995951417004049
business_ethics,False,deepseek-ai/deepseek-v3,0.0011219185854940417,1.0,0.9997975708502025
clinical_knowledge,False,deepseek-ai/deepseek-v3,0.002259726073803092,0.0,1.0
college_biology,False,deepseek-ai/deepseek-v3,0.0022708225466477883,1.0,0.9997975708502025
college_chemistry,False,deepseek-ai/deepseek-v3,0.00200954608968551,1.0,0.9997975708502025
college_computer_science,False,deepseek-ai/deepseek-v3,0.001344062980842442,0.0,1.0
college_mathematics,False,deepseek-ai/deepseek-v3,0.0031571576231814724,0.5,0.9999493914319371
college_medicine,False,deepseek-ai/deepseek-v3,0.0015691776991265671,0.0,1.0
college_physics,False,deepseek-ai/deepseek-v3,0.0026681280201208413,0.0,1.0
computer_security,False,deepseek-ai/deepseek-v3,0.001264869448869943,1.0,0.9997975708502025
conceptual_physics,False,deepseek-ai/deepseek-v3,0.002397467758753269,1.0,0.9997975708502025
econometrics,False,deepseek-ai/deepseek-v3,0.0022796752926581565,1.0,0.9997975708502025
electrical_engineering,False,deepseek-ai/deepseek-v3,0.0012038996857227646,2.0,0.9991902834008098
elementary_mathematics,False,deepseek-ai/deepseek-v3,0.0074694680595216445,3.0,0.998582995951417
formal_logic,False,deepseek-ai/deepseek-v3,0.0021880320521620034,1.0,0.9997975708502025
global_facts,False,deepseek-ai/deepseek-v3,0.0022821978150225908,0.5,0.9999493914319371
high_school_biology,False,deepseek-ai/deepseek-v3,0.0042735386699126465,0.0,1.0
high_school_chemistry,False,deepseek-ai/deepseek-v3,0.0026158247563833337,1.0,0.9997975708502025
high_school_computer_science,False,deepseek-ai/deepseek-v3,0.000847744693456165,1.0,0.9997975708502025
high_school_european_history,False,deepseek-ai/deepseek-v3,0.002124028679873158,1.0,0.9995951417004049
high_school_geography,False,deepseek-ai/deepseek-v3,0.003983303319907816,0.5,0.9999493914319371
high_school_government_and_politics,False,deepseek-ai/deepseek-v3,0.004502095664668304,0.0,1.0
high_school_macroeconomics,False,deepseek-ai/deepseek-v3,0.0037745476057700067,1.0,0.9997975708502025
high_school_mathematics,False,deepseek-ai/deepseek-v3,0.007948655175504915,1.0,0.9997975708502025
high_school_microeconomics,False,deepseek-ai/deepseek-v3,0.0029713814222357415,1.0,0.9995951417004049
high_school_physics,False,deepseek-ai/deepseek-v3,0.003598360897028585,1.0,0.9997975708502025
high_school_psychology,False,deepseek-ai/deepseek-v3,0.010900643046991343,0.0,1.0
high_school_statistics,False,deepseek-ai/deepseek-v3,0.003046562818209808,0.0,1.0
high_school_us_history,False,deepseek-ai/deepseek-v3,0.0035488480154483026,0.0,1.0
high_school_world_history,False,deepseek-ai/deepseek-v3,0.0035871998017434348,1.0,0.9997975708502025
human_aging,False,deepseek-ai/deepseek-v3,0.0016634166020438323,1.0,0.9997975708502025
human_sexuality,False,deepseek-ai/deepseek-v3,0.0020588951487651164,1.0,0.9997975708502025
international_law,False,deepseek-ai/deepseek-v3,0.0017496230100426668,1.0,0.9997975708502025
jurisprudence,False,deepseek-ai/deepseek-v3,0.00146685167487548,1.0,0.9997975708502025
logical_fallacies,False,deepseek-ai/deepseek-v3,0.0023622584840868877,1.0,0.9997975708502025
machine_learning,False,deepseek-ai/deepseek-v3,0.002154054705946762,0.0,1.0
management,False,deepseek-ai/deepseek-v3,0.0016259013025797797,0.0,1.0
marketing,False,deepseek-ai/deepseek-v3,0.004963414259786414,1.0,0.9995951417004049
medical_genetics,False,deepseek-ai/deepseek-v3,0.0012641441211133086,1.0,0.9995951417004049
miscellaneous,False,deepseek-ai/deepseek-v3,0.012659687213557813,3.0,0.9979757085020243
moral_disputes,False,deepseek-ai/deepseek-v3,0.003450419352756251,1.0,0.9995951417004049
moral_scenarios,False,deepseek-ai/deepseek-v3,0.027861774292027963,3.0,0.9961538461538463
nutrition,False,deepseek-ai/deepseek-v3,0.004609403754789354,1.0,0.9995951417004049
philosophy,False,deepseek-ai/deepseek-v3,0.003128871964793778,1.0,0.9997975708502025
prehistory,False,deepseek-ai/deepseek-v3,0.004702562796686904,1.0,0.9997975708502025
professional_accounting,False,deepseek-ai/deepseek-v3,0.004717222915969765,1.0,0.9995951417004049
professional_law,False,deepseek-ai/deepseek-v3,0.030988570676111826,2.0,0.9979757085020243
professional_medicine,False,deepseek-ai/deepseek-v3,0.0031823401049057565,1.0,0.9997975708502025
professional_psychology,False,deepseek-ai/deepseek-v3,0.004851449268830077,1.0,0.9997469520369716
public_relations,False,deepseek-ai/deepseek-v3,0.0009585594555491239,0.5,0.9999493914319371
security_studies,False,deepseek-ai/deepseek-v3,0.003046741488949123,1.0,0.9997975708502025
sociology,False,deepseek-ai/deepseek-v3,0.003947224043599928,1.0,0.9997975708502025
us_foreign_policy,False,deepseek-ai/deepseek-v3,0.0019823207590990988,0.0,1.0
virology,False,deepseek-ai/deepseek-v3,0.0033106113443222007,1.0,0.9997975708502025
world_religions,False,deepseek-ai/deepseek-v3,0.003204676833275577,1.0,0.9997975708502025
